locationID,avg,max,count,LocationID,Borough,Zone,service_zone
222,0.0234888869589698,39.2,22286,1,EWR,Newark Airport,EWR
51,0.0353326408459261,80.0,65143,2,Queens,Jamaica Bay,Boro Zone
81,0.0355044448655094,70.0,26913,3,Bronx,Allerton/Pelham Gardens,Boro Zone
254,0.038144768549007,300.0,51812,4,Manhattan,Alphabet City,Yellow Zone
35,0.0427744761472086,91.3,51381,5,Staten Island,Arden Heights,Boro Zone
117,0.0449491874539654,200.0,22254,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
77,0.0484032323236903,88.0,24057,7,Queens,Astoria,Boro Zone
86,0.0496047288285313,50.0,19511,8,Queens,Astoria Park,Boro Zone
213,0.0507962913215603,250.0,78270,10,Queens,Baisley Park,Boro Zone
76,0.0510558488263604,250.0,104257,11,Brooklyn,Bath Beach,Boro Zone
32,0.052079679849473,86.86,27656,12,Manhattan,Battery Park,Yellow Zone
39,0.0560200410469522,265.74,74124,13,Manhattan,Battery Park City,Yellow Zone
47,0.0568291552799744,88.0,26493,14,Brooklyn,Bay Ridge,Boro Zone
235,0.0590675281617852,200.0,51927,15,Queens,Bay Terrace/Fort Totten,Boro Zone
78,0.0594007109664916,80.0,33205,16,Queens,Bayside,Boro Zone
72,0.0595223760126606,200.0,42729,17,Brooklyn,Bedford,Boro Zone
55,0.0632235454549508,284.2,69304,19,Queens,Bellerose,Boro Zone
3,0.0638729197852862,110.0,23296,20,Bronx,Belmont,Boro Zone
191,0.0654958302660006,150.0,47232,21,Brooklyn,Bensonhurst East,Boro Zone
122,0.0654989665176229,52.3,12306,22,Brooklyn,Bensonhurst West,Boro Zone
