locationID,count,0_tip_ratio,LocationID,Borough,Zone,service_zone
222,37483,0.8567738691170084,144,Manhattan,Little Italy/NoLiTa,Yellow Zone
51,67652,0.7999621610755714,100,Manhattan,Garment District,Yellow Zone
81,34586,0.7961236562852473,153,Manhattan,Marble Hill,Boro Zone
35,101359,0.7955715676116919,75,Manhattan,East Harlem South,Boro Zone
76,153133,0.7768831933114169,52,Brooklyn,Cobble Hill,Boro Zone
254,58076,0.7745222250376752,109,Staten Island,Great Kills,Boro Zone
72,81157,0.7518505136970438,84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
77,41847,0.7515759981321504,138,Queens,LaGuardia Airport,Airports
39,100324,0.7479163249787533,76,Brooklyn,East New York,Boro Zone
32,33258,0.7302709586755083,155,Brooklyn,Marine Park/Mill Basin,Boro Zone
213,77885,0.7236029172666884,86,Queens,Far Rockaway,Boro Zone
117,20829,0.7198050938245153,185,Bronx,Pelham Parkway,Boro Zone
47,38646,0.7072710967954466,142,Manhattan,Lincoln Square East,Yellow Zone
78,42993,0.7058215130023641,132,Queens,JFK Airport,Airports
91,84178,0.7045952958901817,82,Queens,Elmhurst,Boro Zone
71,75287,0.6969211685859221,90,Manhattan,Flatiron,Yellow Zone
235,60297,0.6956035208749121,106,Brooklyn,Gowanus,Boro Zone
3,24261,0.6925184825735735,179,Queens,Old Astoria,Boro Zone
242,72437,0.687708272018684,92,Queens,Flushing,Boro Zone
60,21396,0.683621956674548,184,Bronx,Pelham Bay Park,Boro Zone
155,52301,0.6773951223302983,119,Bronx,Highbridge,Boro Zone
250,33558,0.6645411699473246,154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
55,57933,0.6605212751402381,111,Brooklyn,Green-Wood Cemetery,Boro Zone
5,484,0.660300136425648,243,Manhattan,Washington Heights North,Boro Zone
108,27371,0.6487095015760909,169,Bronx,Mount Hope,Boro Zone
136,42193,0.6462596495527508,135,Queens,Kew Gardens Hills,Boro Zone
139,18791,0.6370262390670554,190,Brooklyn,Prospect Park,Boro Zone
205,58075,0.6352340220732201,110,Staten Island,Great Kills Park,Boro Zone
248,24653,0.6348956992016482,175,Queens,Oakland Gardens,Boro Zone
86,17773,0.6342290261570852,192,Queens,Queensboro Hill,Boro Zone
147,24306,0.6334966638865721,178,Brooklyn,Ocean Parkway South,Boro Zone
174,51629,0.6307295738858483,120,Manhattan,Highbridge Park,Boro Zone
167,42208,0.6302053004852557,134,Queens,Kew Gardens,Boro Zone
191,37787,0.6296783869355107,143,Manhattan,Lincoln Square West,Yellow Zone
259,27051,0.6262385406056117,170,Manhattan,Murray Hill,Yellow Zone
122,14993,0.6215745615853405,201,Queens,Rockaway Park,Boro Zone
94,16770,0.6205824667875514,194,Manhattan,Randalls Island,Yellow Zone
18,41609,0.6148446966338623,139,Queens,Laurelton,Boro Zone
183,14813,0.6086366998109951,202,Manhattan,Roosevelt Island,Boro Zone
182,50623,0.6085226589734343,122,Queens,Hollis,Boro Zone
218,37410,0.6084113973458236,145,Queens,Long Island City/Hunters Point,Boro Zone
123,47570,0.605516732220822,125,Manhattan,Hudson Sq,Yellow Zone
169,45288,0.5990317716462528,128,Manhattan,Inwood Hill Park,Boro Zone
177,69193,0.5925123523921253,98,Queens,Fresh Meadows,Boro Zone
26,64205,0.5914622350372629,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
212,35779,0.5914373088685015,149,Brooklyn,Madison,Boro Zone
21,33185,0.5850979424158541,156,Staten Island,Mariners Harbor,Boro Zone
63,24536,0.5777118504391232,176,Staten Island,Oakwood,Boro Zone
149,32787,0.5664553134880185,157,Queens,Maspeth,Boro Zone
11,16639,0.56629909468382,195,Brooklyn,Red Hook,Boro Zone
29,29484,0.5658031088082901,161,Manhattan,Midtown Center,Yellow Zone
185,35020,0.5653402211639358,151,Manhattan,Manhattan Valley,Yellow Zone
203,16571,0.5643881339191444,196,Queens,Rego Park,Boro Zone
38,15202,0.5617263422384806,200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
119,41477,0.5512552996371659,140,Manhattan,Lenox Hill East,Yellow Zone
126,25031,0.5510523071504051,174,Bronx,Norwood,Boro Zone
159,67807,0.5480549291562603,99,Staten Island,Freshkills Park,Boro Zone
85,44758,0.5428699649471782,130,Queens,Jamaica,Boro Zone
22,43146,0.54159971881904,131,Queens,Jamaica Estates,Boro Zone
165,55346,0.5413552955905944,117,Queens,Hammels/Arverne,Boro Zone
19,13290,0.5340995860627737,204,Staten Island,Rossville/Woodrow,Boro Zone
59,608,0.5328659070990359,241,Bronx,Van Cortlandt Village,Boro Zone
46,2304,0.5278350515463918,227,Brooklyn,Sunset Park East,Boro Zone
241,31896,0.5149915233712763,158,Manhattan,Meatpacking/West Village West,Yellow Zone
208,29583,0.5149347258485639,160,Queens,Middle Village,Boro Zone
44,641,0.5067193675889328,240,Bronx,Van Cortlandt Park,Boro Zone
69,82180,0.5018442072351548,83,Queens,Elmhurst/Maspeth,Boro Zone
156,1670,0.4965804341361879,233,Manhattan,UN/Turtle Bay South,Yellow Zone
215,50887,0.4903069778197444,121,Queens,Hillcrest/Pomonok,Boro Zone
178,14528,0.4894054236146202,203,Queens,Rosedale,Boro Zone
197,71858,0.4796032784259284,93,Queens,Flushing Meadows-Corona Park,Boro Zone
20,20277,0.4733524756635618,186,Manhattan,Penn Station/Madison Sq West,Yellow Zone
101,10844,0.4693356416360095,208,Bronx,Schuylerville/Edgewater Park,Boro Zone
9,12681,0.4649142102947646,205,Queens,Saint Albans,Boro Zone
154,1815,0.4618320610687023,231,Manhattan,TriBeCa/Civic Center,Yellow Zone
210,58129,0.4607452264134493,108,Brooklyn,Gravesend,Boro Zone
150,18888,0.4600993861444022,189,Brooklyn,Prospect Heights,Boro Zone
