DOLocationID,avg,median,count,LocationID,Borough,Zone,service_zone
40,0.1953041648830618,0.1999999999999999,5349,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
54,0.1948585135341985,0.1999999999999999,1238,7,Queens,Astoria,Boro Zone
112,0.1937791698987813,0.1999999999999999,8406,8,Queens,Astoria Park,Boro Zone
223,0.1934319961698337,0.1999999999999999,7205,9,Queens,Auburndale,Boro Zone
181,0.1930783961790348,0.1999999999999999,12356,10,Queens,Baisley Park,Boro Zone
138,0.1920857997013778,0.1998958875585632,55452,11,Brooklyn,Bath Beach,Boro Zone
52,0.1914825425829851,0.1999999999999999,3431,12,Manhattan,Battery Park,Yellow Zone
33,0.1912863562318782,0.1999999999999999,10474,13,Manhattan,Battery Park City,Yellow Zone
7,0.1905656718566379,0.1999999999999999,12767,14,Brooklyn,Bay Ridge,Boro Zone
257,0.1903765436615251,0.1999119330691325,2331,15,Queens,Bay Terrace/Fort Totten,Boro Zone
265,0.1897212811079591,0.1998945147679325,4243,16,Queens,Bayside,Boro Zone
179,0.1891933897851042,0.1999999999999999,4797,17,Brooklyn,Bedford,Boro Zone
202,0.1888905608612635,0.1999999999999999,1702,18,Bronx,Bedford Park,Boro Zone
189,0.1887362041472177,0.1999999999999999,3674,20,Bronx,Belmont,Boro Zone
145,0.1877842889973574,0.1999999999999999,11021,21,Brooklyn,Bensonhurst East,Boro Zone
186,0.1877630065801699,0.1999999999999999,31122,22,Brooklyn,Bensonhurst West,Boro Zone
106,0.1872898754614803,0.1999999999999999,1883,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
125,0.1869168860684044,0.1999999999999999,9363,24,Manhattan,Bloomingdale,Yellow Zone
43,0.1864912189833587,0.1999999999999999,21244,26,Brooklyn,Borough Park,Boro Zone
264,0.1864010625084028,0.1999999999999999,10997,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
