locationID,count,0_tip_ratio,LocationID,Borough,Zone,service_zone
155,1,0.0010917030567685,1,EWR,Newark Airport,EWR
208,1,0.0012642225031605,2,Queens,Jamaica Bay,Boro Zone
205,3,0.0019907100199071,3,Bronx,Allerton/Pelham Gardens,Boro Zone
262,121,0.0021701311046146,4,Manhattan,Alphabet City,Yellow Zone
79,218,0.0022968886641169,5,Staten Island,Arden Heights,Boro Zone
13,124,0.0023130444514913,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
236,312,0.0023158629187295,7,Queens,Astoria,Boro Zone
87,114,0.0023320990937544,8,Queens,Astoria Park,Boro Zone
114,95,0.0023965691220988,9,Queens,Auburndale,Boro Zone
88,60,0.0024533856722276,10,Queens,Baisley Park,Boro Zone
141,252,0.0025512270187089,11,Brooklyn,Bath Beach,Boro Zone
137,141,0.002608261344087,12,Manhattan,Battery Park,Yellow Zone
140,184,0.0026154567809981,13,Manhattan,Battery Park City,Yellow Zone
143,119,0.0026300667462317,14,Brooklyn,Bay Ridge,Boro Zone
237,294,0.0027505168913545,15,Queens,Bay Terrace/Fort Totten,Boro Zone
113,129,0.0028271494006004,16,Queens,Bayside,Boro Zone
107,230,0.002860660937053,17,Brooklyn,Bedford,Boro Zone
144,84,0.002909594735019,18,Bronx,Bedford Park,Boro Zone
263,284,0.0029219008817144,19,Queens,Bellerose,Boro Zone
239,311,0.0029361505272797,20,Bronx,Belmont,Boro Zone
249,204,0.0029472954230235,21,Brooklyn,Bensonhurst East,Boro Zone
161,286,0.0029968355093572,22,Brooklyn,Bensonhurst West,Boro Zone
132,501,0.0030035250953214,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
188,10,0.0030229746070133,24,Manhattan,Bloomingdale,Yellow Zone
234,252,0.0030314695409488,25,Brooklyn,Boerum Hill,Boro Zone
148,133,0.0030392358492721,26,Brooklyn,Borough Park,Boro Zone
246,187,0.0030826547097029,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
170,312,0.0031270671718082,28,Queens,Briarwood/Jamaica Hills,Boro Zone
211,76,0.0031419240150481,29,Brooklyn,Brighton Beach,Boro Zone
125,69,0.0031853014495429,30,Queens,Broad Channel,Boro Zone
231,231,0.0032270231758937,31,Bronx,Bronx Park,Boro Zone
4,36,0.0032555615843733,32,Bronx,Bronxdale,Boro Zone
90,199,0.003384468859485,33,Brooklyn,Brooklyn Heights,Boro Zone
229,246,0.0033890366043506,34,Brooklyn,Brooklyn Navy Yard,Boro Zone
37,14,0.0033898305084745,35,Brooklyn,Brownsville,Boro Zone
127,13,0.0034629728289824,36,Brooklyn,Bushwick North,Boro Zone
242,4,0.0034965034965034,37,Brooklyn,Bushwick South,Boro Zone
164,217,0.0035273081924577,38,Queens,Cambria Heights,Boro Zone
243,29,0.0035296981499513,39,Brooklyn,Canarsie,Boro Zone
255,49,0.0035566523916672,40,Brooklyn,Carroll Gardens,Boro Zone
50,130,0.0035671166721545,41,Manhattan,Central Harlem,Boro Zone
