locationID,count,0_tip_ratio,LocationID,Borough,Zone,service_zone
262,1148,0.0205893430421292,1,EWR,Newark Airport,EWR
236,2990,0.0221936863044914,2,Queens,Jamaica Bay,Boro Zone
239,2351,0.0221957874264782,3,Bronx,Allerton/Pelham Gardens,Boro Zone
237,2407,0.0225186876105118,4,Manhattan,Alphabet City,Yellow Zone
141,2314,0.0234267433384627,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
229,1730,0.0238334688029536,7,Queens,Astoria,Boro Zone
13,1313,0.0244921561678076,10,Queens,Baisley Park,Boro Zone
162,2793,0.0254313680855907,12,Manhattan,Battery Park,Yellow Zone
249,1761,0.0254420943134535,13,Manhattan,Battery Park City,Yellow Zone
142,2503,0.0255319583001815,14,Brooklyn,Bay Ridge,Boro Zone
138,4299,0.0268509612381797,15,Queens,Bay Terrace/Fort Totten,Boro Zone
233,1580,0.0271174804771303,16,Queens,Bayside,Boro Zone
161,2592,0.0271601316092797,17,Brooklyn,Bedford,Boro Zone
234,2289,0.0275358483302858,18,Bronx,Bedford Park,Boro Zone
113,1270,0.0278331762694777,20,Bronx,Belmont,Boro Zone
158,1118,0.0291236844847348,21,Brooklyn,Bensonhurst East,Boro Zone
263,2852,0.0293424694177803,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
114,1170,0.0295156407669021,24,Manhattan,Bloomingdale,Yellow Zone
143,1372,0.0303231224859656,25,Brooklyn,Boerum Hill,Boro Zone
140,2146,0.0305041861522935,26,Brooklyn,Borough Park,Boro Zone
90,1804,0.0306813156910099,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
43,1408,0.0308022139091247,28,Queens,Briarwood/Jamaica Hills,Boro Zone
231,2207,0.0308313426372183,29,Brooklyn,Brighton Beach,Boro Zone
87,1520,0.031094654583393,30,Queens,Broad Channel,Boro Zone
170,3136,0.0314310341371499,32,Bronx,Bronxdale,Boro Zone
238,2908,0.0314504180050398,33,Brooklyn,Brooklyn Heights,Boro Zone
107,2577,0.0320518401512419,34,Brooklyn,Brooklyn Navy Yard,Boro Zone
163,2053,0.0324785243074781,35,Brooklyn,Brownsville,Boro Zone
79,3137,0.0330520171529116,37,Brooklyn,Bushwick South,Boro Zone
164,2068,0.0336150845253576,38,Queens,Cambria Heights,Boro Zone
246,2146,0.0353763476311364,39,Brooklyn,Canarsie,Boro Zone
186,2922,0.0375583233717657,41,Manhattan,Central Harlem,Boro Zone
230,3220,0.0376141859215475,42,Manhattan,Central Harlem North,Boro Zone
68,3102,0.0405670494075798,46,Bronx,City Island,Boro Zone
48,3961,0.0406548291080775,47,Bronx,Claremont/Bathgate,Boro Zone
88,1064,0.0435067059208374,49,Brooklyn,Clinton Hill,Boro Zone
151,1829,0.0439399399399399,50,Manhattan,Clinton West,Yellow Zone
50,1622,0.044506640324882,51,Bronx,Co-Op City,Boro Zone
132,7562,0.0453346442531354,52,Brooklyn,Cobble Hill,Boro Zone
148,2007,0.0458627545074381,53,Queens,College Point,Boro Zone
137,2570,0.0475406500305222,57,Queens,Corona,Boro Zone
100,2052,0.0492003740379312,58,Bronx,Country Club,Boro Zone
166,1933,0.0551120488110851,61,Brooklyn,Crown Heights North,Boro Zone
7,1310,0.0751836547291092,69,Bronx,East Concourse/Concourse Village,Boro Zone
244,1629,0.0793666260657734,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone
116,1415,0.1009056549953647,81,Bronx,Eastchester,Boro Zone
75,5596,0.1017695091567097,82,Queens,Elmhurst,Boro Zone
95,1004,0.1114070128717266,85,Brooklyn,Erasmus,Boro Zone
41,3392,0.115898452181638,86,Queens,Far Rockaway,Boro Zone
74,5011,0.1210532673028143,87,Manhattan,Financial District North,Yellow Zone
61,1330,0.1931174676927544,102,Queens,Glendale,Boro Zone
42,3697,0.2021765284917423,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
130,1550,0.2598491198658843,121,Queens,Hillcrest/Pomonok,Boro Zone
76,1233,0.7037671232876712,202,Manhattan,Roosevelt Island,Boro Zone
