PULocationID,avg,median,count,LocationID,Borough,Zone,service_zone
52,0.1974569643196641,0.1999999999999999,2383,8,Queens,Astoria Park,Boro Zone
223,0.1939349862373136,0.1999999999999999,2590,9,Queens,Auburndale,Boro Zone
138,0.1917134439981523,0.1998931052912881,105017,10,Queens,Baisley Park,Boro Zone
40,0.190488939787132,0.1999999999999999,1650,11,Brooklyn,Bath Beach,Boro Zone
255,0.1904111471902239,0.1999999999999999,4187,12,Manhattan,Battery Park,Yellow Zone
256,0.1902091681972565,0.1999999999999999,2075,13,Manhattan,Battery Park City,Yellow Zone
181,0.1895033206664385,0.1999999999999999,3115,14,Brooklyn,Bay Ridge,Boro Zone
260,0.1893907032940113,0.1999999999999999,3139,15,Queens,Bay Terrace/Fort Totten,Boro Zone
112,0.1884595743616092,0.1999999999999999,1428,16,Queens,Bayside,Boro Zone
230,0.187859418436891,0.1999999999999999,50190,17,Brooklyn,Bedford,Boro Zone
33,0.1874904403050408,0.1999999999999999,6013,18,Bronx,Bedford Park,Boro Zone
145,0.1871808447110334,0.1999999999999999,3589,19,Queens,Bellerose,Boro Zone
7,0.1862030231616603,0.1999999999999999,5709,21,Brooklyn,Bensonhurst East,Boro Zone
80,0.1855800398633056,0.1999999999999999,1878,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
161,0.18553690307599,0.1999999999999999,49825,24,Manhattan,Bloomingdale,Yellow Zone
162,0.1852969865138475,0.1999999999999999,61811,25,Brooklyn,Boerum Hill,Boro Zone
166,0.1847588066475416,0.1999999999999999,14582,26,Brooklyn,Borough Park,Boro Zone
264,0.1844952636394131,0.1999348746336698,12805,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
163,0.1841504329564776,0.1999999999999999,33085,28,Queens,Briarwood/Jamaica Hills,Boro Zone
239,0.1837089926892467,0.1999999999999999,52077,29,Brooklyn,Brighton Beach,Boro Zone
