locationID,avg,max,count,LocationID,Borough,Zone,service_zone
52,0.1968872036293224,351.61,371353,257,Brooklyn,Windsor Terrace,Boro Zone
40,0.196626765518805,241.65,461966,256,Brooklyn,Williamsburg (South Side),Boro Zone
112,0.1958060542829175,445.5,747506,254,Bronx,Williamsbridge/Olinville,Boro Zone
54,0.1943708028032964,363.0,82347,253,Queens,Willets Point,Boro Zone
138,0.191890198235148,450.0,9040955,250,Bronx,Westchester Village/Unionport,Boro Zone
186,0.1915454798486152,433.37,4177244,249,Manhattan,West Village,Yellow Zone
33,0.1905313218640457,280.0,980154,248,Bronx,West Farms/Bronx River,Boro Zone
181,0.190445009569183,148.55,1023615,247,Bronx,West Concourse,Boro Zone
230,0.1902223869890248,999.99,4634832,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
162,0.19009364296751,999.99,5682032,245,Staten Island,West Brighton,Boro Zone
239,0.1900805515936545,355.5,5893589,244,Manhattan,Washington Heights South,Boro Zone
163,0.1898917299325339,450.0,3595459,243,Manhattan,Washington Heights North,Boro Zone
161,0.1897109429866901,700.0,5232847,242,Bronx,Van Nest/Morris Park,Boro Zone
142,0.1896901759737697,800.0,5480279,241,Bronx,Van Cortlandt Village,Boro Zone
43,0.1895574938911182,355.0,2358597,240,Bronx,Van Cortlandt Park,Boro Zone
223,0.1895044180330382,333.33,600144,239,Manhattan,Upper West Side South,Yellow Zone
249,0.189301912991222,363.36,3988336,238,Manhattan,Upper West Side North,Yellow Zone
189,0.1892650909101563,111.11,267449,237,Manhattan,Upper East Side South,Yellow Zone
113,0.1891107073909746,493.22,2542469,236,Manhattan,Upper East Side North,Yellow Zone
125,0.1888961217809512,445.68,1183797,235,Bronx,University Heights/Morris Heights,Boro Zone
