locationID,avg,max,count,LocationID,Borough,Zone,service_zone
40,0.1941895931075717,68.0,6905,3,Bronx,Allerton/Pelham Gardens,Boro Zone
52,0.1940185542891572,24.95,5721,4,Manhattan,Alphabet City,Yellow Zone
112,0.1923865426229208,25.0,9596,5,Staten Island,Arden Heights,Boro Zone
54,0.192229112817906,21.69,1364,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
138,0.1915953444691458,171.2,160106,7,Queens,Astoria,Boro Zone
181,0.190911978826253,66.5,14947,8,Queens,Astoria Park,Boro Zone
223,0.1906405202041563,55.0,8835,9,Queens,Auburndale,Boro Zone
33,0.1890239205259221,44.0,16149,10,Queens,Baisley Park,Boro Zone
7,0.1879826378631467,110.0,17424,11,Brooklyn,Bath Beach,Boro Zone
257,0.1870386931595782,55.0,2469,12,Manhattan,Battery Park,Yellow Zone
202,0.1867840386490108,25.0,1792,13,Manhattan,Battery Park City,Yellow Zone
189,0.1865887999232063,40.0,4189,14,Brooklyn,Bay Ridge,Boro Zone
255,0.1864715331512594,100.0,13777,15,Queens,Bay Terrace/Fort Totten,Boro Zone
256,0.1856076959709646,236.05,9277,16,Queens,Bayside,Boro Zone
145,0.1856069676703342,60.0,13789,17,Brooklyn,Bedford,Boro Zone
265,0.1854546053868951,178.08,4502,18,Bronx,Bedford Park,Boro Zone
230,0.1852889174794769,100.58,85606,19,Queens,Bellerose,Boro Zone
260,0.1850744148494718,50.0,5756,20,Bronx,Belmont,Boro Zone
43,0.1847349298855718,121.5,45711,22,Brooklyn,Bensonhurst West,Boro Zone
125,0.1845780163200659,111.11,21662,24,Manhattan,Bloomingdale,Yellow Zone
80,0.1845621341885868,78.83,7279,25,Brooklyn,Boerum Hill,Boro Zone
24,0.1840558926364605,40.0,16158,26,Brooklyn,Borough Park,Boro Zone
179,0.1839805217883889,25.28,6269,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
239,0.1838872009402866,87.5,105921,28,Queens,Briarwood/Jamaica Hills,Boro Zone
186,0.1838115907092952,265.74,77799,29,Brooklyn,Brighton Beach,Boro Zone
162,0.1837813693592506,254.95,109825,30,Queens,Broad Channel,Boro Zone
163,0.1836523435918888,250.5,63211,31,Bronx,Bronx Park,Boro Zone
264,0.183629395888018,107.0,14007,32,Bronx,Bronxdale,Boro Zone
249,0.183574631040237,124.11,69216,33,Brooklyn,Brooklyn Heights,Boro Zone
142,0.1833519698129669,72.0,98034,34,Brooklyn,Brooklyn Navy Yard,Boro Zone
